nct,cond,title,ivnames,mode,u,outcome,cat,growthdx,growthdrug,restore,arm,av,asd,an,ref,rv,rn,diff,se,z
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,Z,Growth Velocity Standard Deviation Score According to Bone Age (GV [SDS/BA]),"Year 1 (n = 13, 15)",True,True,False,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),0.8,,15,Somatropin- Up To Year 3 (Nephrotic Syndrome),0.6,15,0.2,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,Z,Growth Velocity Standard Deviation Score According to Bone Age (GV [SDS/BA]),"Year 2 (n = 14, 13)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),1.4,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),-0.3,15,1.7,,
NCT00174187,Endocrine System Diseases,Treatment With Recombinant Human Growth Hormone (GH) in Children With Short Stature Secondary to a Long Term Corticoid Therapy,Somatropin,active-comparator,Z,Growth Velocity Standard Deviation Score According to Bone Age (GV [SDS/BA]),"Year 3 (n = 14, 14)",True,True,False,Somatropin- Up To Year 3 (Nephrotic Syndrome),0.1,,15,Somatropin- Up To Year 3 (Juvenile Idiopathic Arthritis),-0.9,15,1.0,,
NCT01786902,Idiopathic Short Stature,Efficacy and Safety of DA-3002 in Children With Idiopathic Short Stature,DA-3002,placebo,cm/yr,Annualized Height Velocity(cm/Year) After 26 Weeks,,True,False,False,DA-3002 Treatment Group,10.68,1.95,36,Non-treatment Control Group,5.72,32,4.96,,
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Treatment in Pediatric Patients With XLH,burosumab ; Oral Phosphate Supplement ; active vitamin D,placebo,Z,Change From Baseline in Height-For-Age Z-Scores to Week 40,,False,False,True,Burosumab,0.16,0.052,28,Active Control,0.03,32,0.13,,
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Treatment in Pediatric Patients With XLH,burosumab ; Oral Phosphate Supplement ; active vitamin D,placebo,Z,Change From Baseline in Height-For-Age Z-Scores to Week 64,,False,False,True,Burosumab,0.17,0.066,28,Active Control,0.02,32,0.15,,
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Treatment in Pediatric Patients With XLH,burosumab ; Oral Phosphate Supplement ; active vitamin D,placebo,Z,Change in Growth Velocity Z Score From Baseline to Week 40,,False,False,True,Burosumab,1.76,0.337,22,Active Control,0.73,22,1.03,,
NCT02915705,X-Linked Hypophosphatemia,Efficacy and Safety of Burosumab Versus Oral Phosphate and Active Vitamin D Treatment in Pediatric Patients With XLH,burosumab ; Oral Phosphate Supplement ; active vitamin D,placebo,Z,Change in Growth Velocity Z Score From Baseline to Week 64,,False,False,True,Burosumab,1.53,0.264,22,Active Control,0.41,22,1.12,,
NCT00625872,"Growth Hormone Therapy ; Infant, Small for Gestational Age",Neuromuscular Changes In Small For Gestational Age Children During Somatropin Therapy,Somatropin ; Somatropin,placebo,cm/yr,Mean Growth Velocity at Month 6,,True,True,False,Somatropin,8.2,1.93,11,Control Arm,4.6,11,3.6,,
NCT00625872,"Growth Hormone Therapy ; Infant, Small for Gestational Age",Neuromuscular Changes In Small For Gestational Age Children During Somatropin Therapy,Somatropin ; Somatropin,placebo,cm/yr,Mean Growth Velocity-Standard Deviation Score (SDS) at Month 6,,True,True,False,Somatropin,3.4,2.62,11,Control Arm,-1.1,11,4.5,,
NCT00625872,"Growth Hormone Therapy ; Infant, Small for Gestational Age",Neuromuscular Changes In Small For Gestational Age Children During Somatropin Therapy,Somatropin ; Somatropin,placebo,cm,Change From Baseline in Height-Standard Deviation Score (SDS) at Month 6,,True,True,False,Somatropin,0.33,0.21,11,Control Arm,-0.22,11,0.55,,
NCT04004611,Ulcerative Colitis,A Study of Mirikizumab (LY3074828) in Children and Teenagers With Ulcerative Colitis (UC),Mirikizumab,active-comparator,cm/yr,Height Velocity (in Centimeters/Year),Female: 12 - <18 years,False,False,True,OL Induction and Maintenance Period: 5 mg/kg Miri IV,4.54,4.2,10,OL Induction and Maintenance Period: 300 mg Miri IV,2.97,11,1.57,,
NCT04004611,Ulcerative Colitis,A Study of Mirikizumab (LY3074828) in Children and Teenagers With Ulcerative Colitis (UC),Mirikizumab,active-comparator,cm/yr,Height Velocity (in Centimeters/Year),Male: 12 - <18 years,False,False,True,OL Induction and Maintenance Period: 5 mg/kg Miri IV,12.67,1.0,10,OL Induction and Maintenance Period: 300 mg Miri IV,3.65,11,9.02,,
NCT02509936,Malnutrition ; Developmental Disabilities,Promoting Physical Growth and Positive Development in Severely Stunted Guatemalan Children,Home-based nutrition education ; Standard-of-care nutrition support,placebo,Z,Change in Height/Length for Age Z Score,,False,False,True,Home-based Education,0.05,0.48,145,Standard of Care Arm,-0.02,151,0.07,,
NCT03325894,Attention Deficit Hyperactivity Disorder (ADHD),Safety and Tolerability Study of SHP465 in Children Aged 4 to 12 Years Diagnosed With Attention-deficit/Hyperactivity Disorder (ADHD),SHP465,active-comparator,cm,Change From Baseline in Height at Final On-Treatment Assessment (FoTA),,False,False,False,Group A (Antecedent Studies),3.7,4.6,63,Group B (Direct Enrollment),2.9,77,0.8,,
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of TransCon CNP Administered Once Weekly in Prepubertal Children With Achondroplasia",TransCon CNP ; Placebo for TransCon CNP,placebo,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,True,False,False,TransCon CNP 6 mcg,4.09,,10,Placebo,4.35,15,-0.26,,
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of TransCon CNP Administered Once Weekly in Prepubertal Children With Achondroplasia",TransCon CNP ; Placebo for TransCon CNP,placebo,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,True,False,False,TransCon CNP 20 mcg,4.52,,11,Placebo,4.35,15,0.17,,
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of TransCon CNP Administered Once Weekly in Prepubertal Children With Achondroplasia",TransCon CNP ; Placebo for TransCon CNP,placebo,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,True,False,False,TransCon CNP 50 mcg,5.16,,10,Placebo,4.35,15,0.81,,
NCT04085523,Achondroplasia,"A Dose Escalation Trial Evaluating Safety, Efficacy, and Pharmacokinetics of TransCon CNP Administered Once Weekly in Prepubertal Children With Achondroplasia",TransCon CNP ; Placebo for TransCon CNP,placebo,cm/yr,Annualized Height Velocity (cm/Year) After 52 Weeks of Double-blind Treatment,,True,False,False,TransCon CNP 100 mcg,5.42,,11,Placebo,4.35,15,1.07,,
NCT04970654,Growth Hormone Deficiency in Children,A Research Study in Chinese Children With a Low Level of Hormone to Grow. Treatment is Somapacitan Once a Week Compared to Norditropin® Once a Day.,somapacitan ; Norditropin®,active-comparator,cm/yr,Height Velocity,,True,True,True,Somapacitan,11.0,2.1,71,Norditropin,10.5,32,0.5,,
NCT05598320,Achondroplasia,A Clinical Trial to Evaluate Efficacy and Safety of TransCon CNP Compared With Placebo in Children With Achondroplasia,Navepegritide (TransCon CNP) ; Placebo for Navepegritide (TransCon CNP),placebo,Z,Change From Baseline in Height Z-score (ACH-specific) at Week 52,,True,True,False,Navepegritide,0.3,,57,Placebo for Navepegritide,0.01,27,0.29,,
NCT05598320,Achondroplasia,A Clinical Trial to Evaluate Efficacy and Safety of TransCon CNP Compared With Placebo in Children With Achondroplasia,Navepegritide (TransCon CNP) ; Placebo for Navepegritide (TransCon CNP),placebo,Z,Change From Baseline in Height Z-score (CDC-Based) at Week 52,,True,True,False,Navepegritide,0.15,,57,Placebo for Navepegritide,-0.15,27,0.3,,
NCT00122980,"Hemochromatosis ; Cerebrovascular Accident ; Anemia, Sickle Cell ; Hematologic Diseases",Stroke With Transfusions Changing to Hydroxyurea,Red Cell Transfusions ; Iron Chelation ; Hydroxyurea ; Phlebotomy,active-comparator,cm,Growth and Development - Height (Change From Baseline to Endpoint),,False,False,True,Transfusion/Chelation,6.61,5.87,60,Hydroxyurea/Phlebotomy,4.4,60,2.21,,
NCT01470469,"Generalized Anxiety Disorder (GAD) ; Anxiety, Separation ; Phobia, Social","SPD503 in Subjects Aged 6-17 Years With Generalized Anxiety Disorder (GAD), Separation Anxiety Disorder (SAD), or Social Phobia (SoP)",SPD503 (extended-release Guanfacine hydrochloride) ; Placebo,placebo,cm,Change From Baseline in Height at up to 12 Weeks,,False,False,False,SPD503,1.0,1.79,59,PLACEBO,0.5,19,0.5,,
NCT04718896,Moderate to Severe Plaque Psoriasis,"A Study to Assess the Pharmacokinetics, Safety, and Efficacy of Two Doses of Bimekizumab in Adolescent Study Participants With Moderate to Severe Plaque Psoriasis",bimekizumab,active-comparator,cm,Change From Baseline in Height,Week 16,False,False,True,BKZ Dose A (320/160 mg),0.61,1.59,19,BKZ Dose B (64/32 mg),0.56,21,0.05,,
NCT04718896,Moderate to Severe Plaque Psoriasis,"A Study to Assess the Pharmacokinetics, Safety, and Efficacy of Two Doses of Bimekizumab in Adolescent Study Participants With Moderate to Severe Plaque Psoriasis",bimekizumab,active-comparator,cm,Change From Baseline in Height,Week 124,False,False,True,BKZ Dose A (320/160 mg),4.01,6.53,19,BKZ Dose B (64/32 mg),3.04,21,0.97,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 12 to 24 (Increasing: n=28, Remaining: n=32)",True,True,False,Dose-Increasing Group,2.782,1.978,29,Dose-Remaining Group,2.595,32,0.187,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 24 to36 (Increasing:n=26, Remaining:n=28)",True,True,False,Dose-Increasing Group,1.812,1.526,29,Dose-Remaining Group,1.696,32,0.116,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 36 to 48 (Increasing: n=24, Remaining: n=23)",True,True,False,Dose-Increasing Group,1.48,1.543,29,Dose-Remaining Group,0.824,32,0.656,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 48 to 60 (Increasing: n=21, Remaining: n=20)",True,True,False,Dose-Remaining Group,0.48,1.651,32,Dose-Increasing Group,-0.041,29,0.521,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 60 to 72 (Increasing: n=20, Remaining: n=16)",True,True,False,Dose-Remaining Group,-0.046,2.434,32,Dose-Increasing Group,-0.293,29,0.247,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 72 to 84 (Increasing: n=15, Remaining: n=16)",True,True,False,Dose-Increasing Group,-0.488,3.117,29,Dose-Remaining Group,-1.511,32,1.023,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 84 to 96 (Increasing: n=11, Remaining: n=14)",True,True,False,Dose-Increasing Group,0.263,1.802,29,Dose-Remaining Group,-0.114,32,0.377,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 96 to 108 (Increasing: n=9, Remaining: n=8)",True,True,False,Dose-Increasing Group,0.521,2.058,29,Dose-Remaining Group,-0.466,32,0.987,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 108 to 120 (Increasing: n=6, Remaining: n=6)",True,True,False,Dose-Remaining Group,-0.59,2.693,32,Dose-Increasing Group,-0.668,29,0.078,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 120 to 132 (Increasing: n=5, Remaining: n=4)",True,True,False,Dose-Remaining Group,1.173,3.042,32,Dose-Increasing Group,-1.08,29,2.253,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,Z,Height Velocity Standard Deviation Score (SDS) for Chronological Age,"Month 132 to 144 (Increasing: n=4, Remaining: n=2)",True,True,False,Dose-Increasing Group,2.655,4.329,29,Dose-Remaining Group,0.73,32,1.925,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 12 to 24 (Increasing: n=28, Remaining: n=32)",True,True,False,Dose-Increasing Group,7.83,1.33,29,Dose-Remaining Group,7.7,32,0.13,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 24 to 36 (Increasing: n=26, Remaining: n=28)",True,True,False,Dose-Increasing Group,6.88,0.94,29,Dose-Remaining Group,6.75,32,0.13,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 36 to 48 (Increasing: n=24, Remaining: n=23)",True,True,False,Dose-Increasing Group,6.68,0.98,29,Dose-Remaining Group,6.08,32,0.6,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 48 to 60 (Increasing: n=21, Remaining: n=20)",True,True,False,Dose-Remaining Group,6.3,1.24,32,Dose-Increasing Group,6.06,29,0.24,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 60 to 72 (Increasing: n=20, Remaining: n=16)",True,True,False,Dose-Remaining Group,6.49,1.37,32,Dose-Increasing Group,6.08,29,0.41,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 72 to 84 (Increasing: n=15, Remaining: n=16)",True,True,False,Dose-Increasing Group,4.89,2.18,29,Dose-Remaining Group,4.88,32,0.01,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 84 to 96 (Increasing: n=11, Remaining: n=14)",True,True,False,Dose-Increasing Group,5.16,1.2,29,Dose-Remaining Group,4.82,32,0.34,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 96 to 108 (Increasing: n=9, Remaining: n=8)",True,True,False,Dose-Remaining Group,5.55,2.42,32,Dose-Increasing Group,5.18,29,0.37,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 108 to 120 (Increasing: n=6, Remaining: n=6)",True,True,False,Dose-Increasing Group,5.72,2.24,29,Dose-Remaining Group,5.03,32,0.69,,
NCT01859949,Short Stature Born Small for Gestational Age (SGA),Long Term Study of Genotropin (Somatropin) for Short Children Born Small for Gestational Age (SGA),Genotropin (somatropin),active-comparator,cm/yr,Height Velocity,"Month 120 to 132 (Increasing: n=5, Remaining: n=4)",True,True,False,Dose-Increasing Group,4.84,1.3,29,Dose-Remaining Group,4.3,32,0.54,,
